DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
1973/8/13,75.7,0,999.9,102.2,78.8,11.7,0,1008,999.9,999.9,87.8,16.9,8.9
1973/8/14,73.9,0,999.9,100.4,77,13.6,0,1007.5,999.9,999.9,86.5,6.9,9.7
1973/8/15,73.7,0,999.9,89.6,73.4,11.7,0,1005.6,999.9,999.9,81.6,6.9,4.7
1973/8/16,71.3,10000,999.9,91.4,71.6,9.7,99.99,1002,999.9,999.9,81.4,8.4,5.3
1973/8/17,73.9,0,999.9,93.2,71.6,9.7,0,1003.5,999.9,999.9,84.7,8.4,2.2
1973/8/18,75,0,999.9,93.2,80.6,5.8,0,1006.2,999.9,999.9,86.4,9.9,3.9
1973/8/19,77,0,999.9,100.4,78.8,15.5,0,1008.3,999.9,999.9,87.6,9.9,11.4
1973/8/20,76,0,999.9,91.4,78.8,19.4,0,1009.3,999.9,999.9,85.7,17,14.2
1973/8/21,77,0,999.9,91.4,77,13.6,0,1009,999.9,999.9,84.7,14.4,10.2
1973/8/22,75.6,0,999.9,93.2,77,9.7,0,1009.7,999.9,999.9,85.6,16.3,5.4
1973/8/23,76,0,999.9,91.4,78.8,7.8,0,1009.2,999.9,999.9,83.7,12.6,6.1
1973/8/24,74.5,0,999.9,93.2,77,9.7,0,1008.6,999.9,999.9,84.2,17.5,6.6
1973/8/25,74.9,0,999.9,93.2,77,11.7,0,1008.2,999.9,999.9,84.2,14.7,8
1973/8/26,75.9,0,999.9,93.2,77,11.7,0,1008.2,999.9,999.9,84.7,12.2,8.6
1973/8/27,76.2,0,999.9,98.6,77,9.7,0,1007.6,999.9,999.9,87,14.3,6.9
1973/8/28,75.4,0,999.9,89.6,77,11.7,0,1010.2,999.9,999.9,82.2,8.5,4.9
1973/8/29,75.7,10010,999.9,87.8,75.2,9.7,0,1012.3,999.9,999.9,79.7,8.1,6.1
1973/8/30,76.5,0,999.9,89.6,77,9.7,0,1009.4,999.9,999.9,82.4,10.5,5.8
1973/8/31,70.1,10000,999.9,86,69.8,15.5,0.08,1010.1,999.9,999.9,77,13,9.4
1973/9/1,68.7,10000,999.9,77,69.8,5.8,0.59,1012.5,999.9,999.9,72.3,10.3,1.9
1973/9/2,69.1,10000,999.9,77,68,7.8,0.91,1013.5,999.9,999.9,70.9,6.9,3.6
1973/9/3,69.8,10000,999.9,82.4,66.2,7.8,0.12,1013.9,999.9,999.9,76.1,11.7,6.6
